loss function,mean,median,standard deviation,max dice score,min dice score
SoftDiceLoss,0.005992791012418206,0.00010000000000000002,0.015113086252699028,0.09936901963694957,0.00010000000000000002
FocalTverskyLoss,0.00010000000000000002,0.00010000000000000002,0.0,0.00010000000000000002,0.00010000000000000002
GDiceLoss,0.0635673349510401,0.06493191085459554,0.01476872976109947,0.0923618611286428,0.025242522984965515
SSLoss,0.5422049087288957,0.5628074982574149,0.1261453168368312,0.7458473905712808,0.09723424110511866
PenaltyGDiceLoss,0.7310993105430578,0.7506285690464896,0.12298921248794571,0.8744151694975659,0.14462651706951163
IoULoss,0.010521771706415118,0.00010000000000000002,0.029558414210484434,0.1315917143459811,0.00010000000000000002
TverskyLoss,0.06565089076326516,0.06495441993712033,0.013227582351427961,0.10799329125540806,0.036632302105383666
CrossEntropyLoss,0.8542191195979513,0.8579149415458719,0.0732770829797253,0.9451119821037786,0.4711862871013003
